name,kind,dataset,test_rmse,test_mae,test_accuracy,test_macro_f1,test_masked_mse,val_loss,parameters,latency_ms,torchscript
ablation_seq24_dlinear_ett,dlinear_forecast,hf_ett,0.24097947776317596,0.19907626509666443,,,,0.054195366728438325,58.0,0.18288135528564453,True
ablation_seq24_patchtst_astana,patchtst_forecast,astana,0.5590766072273254,0.3265199065208435,,,,0.34222631076900983,101185.0,0.8628129959106445,True
ablation_seq96_dlinear_ett,dlinear_forecast,hf_ett,0.1472395956516266,0.10597868263721466,,,,0.015969681804021443,202.0,0.19137859344482422,True
ablation_seq96_patchtst_astana,patchtst_forecast,astana,0.8065536022186279,0.5542098879814148,,,,0.6248284654589673,101185.0,0.7827901840209961,True
astana_autoencoder_anomaly_repair,autoencoder,astana,0.994038462638855,0.8410043120384216,,,,0.722640718661485,,,
astana_gru_speed_forecaster,gru_forecast,astana,1.006737232208252,0.8731016516685486,,,,1.0188941071452966,,,
astana_tcn_density_forecaster,tcn_forecast,astana,0.5863855481147766,0.4061354994773865,,,,0.35919645634419667,,,
astana_transformer_severity_classifier,transformer_classifier,astana,,,0.987200915813446,0.8952332056865152,,0.03269848295743486,,,
hf_ett_tcn_energy_forecaster,tcn_forecast,hf_ett,0.18159553408622742,0.1427266001701355,,,,0.05348377271888794,,,
hf_traffic_stgcn_forecaster,stgcn_forecast,hf_traffic,0.4746164083480835,0.26761072874069214,,,,0.1816190140587943,,,
hf_weather_transformer_forecaster,transformer_forecast,hf_weather,0.05592624098062515,0.05275297909975052,,,,0.001915342503233516,,,
q1_astana_itransformer_speed_forecaster,itransformer_forecast,astana,1.0049625635147095,0.875656247138977,,,,1.1664780458906439,103745.0,0.6761980056762695,True
q1_astana_itransformer_speed_forecaster_seed2026,itransformer_forecast,astana,0.9990053176879883,0.8657200336456299,,,,1.1089869452138374,103745.0,0.6528902053833008,True
q1_astana_itransformer_speed_forecaster_seed42,itransformer_forecast,astana,0.9979629516601562,0.8659321665763855,,,,1.142852121038371,103745.0,0.6390285491943359,True
q1_astana_itransformer_speed_forecaster_seed7,itransformer_forecast,astana,0.9998304843902588,0.8671334981918335,,,,1.0991239939809456,103745.0,0.6176471710205078,True
q1_astana_patchtst_density_forecaster,patchtst_forecast,astana,0.5852830410003662,0.3431200683116913,,,,0.2914434742615474,101185.0,0.6591653823852539,True
q1_astana_patchtst_density_forecaster_seed2026,patchtst_forecast,astana,0.5593121647834778,0.3138119876384735,,,,0.33893305456422096,101185.0,0.7551240921020508,True
q1_astana_patchtst_density_forecaster_seed42,patchtst_forecast,astana,0.5648745894432068,0.3404090702533722,,,,0.3478042086299891,101185.0,0.8047914505004883,True
q1_astana_patchtst_density_forecaster_seed7,patchtst_forecast,astana,0.5585399270057678,0.33073514699935913,,,,0.3411339830044195,101185.0,0.7408046722412109,True
q1_astana_saits_imputer,saits_imputer,astana,,,,,0.6587265181001394,0.6214071737980692,100997.0,0.7609367370605469,True
q1_astana_saits_imputer_seed2026,saits_imputer,astana,,,,,0.6306840063149644,0.6291221925868984,100997.0,0.7188272476196289,True
q1_astana_saits_imputer_seed42,saits_imputer,astana,,,,,0.6457588812197446,0.6281493938953553,100997.0,0.7284975051879883,True
q1_astana_saits_imputer_seed7,saits_imputer,astana,,,,,0.6427384511866762,0.6313095070353707,100997.0,0.6581354141235352,True
q1_astana_tranad_anomaly_detector,tranad_anomaly,astana,0.04618523269891739,0.03445030003786087,,,,0.0005805397144167082,100997.0,1.5166616439819336,True
q1_astana_tranad_anomaly_detector_seed2026,tranad_anomaly,astana,0.0371943861246109,0.028269141912460327,,,,0.0003026982369845028,100997.0,1.515660285949707,True
q1_astana_tranad_anomaly_detector_seed42,tranad_anomaly,astana,0.030769674107432365,0.02259734831750393,,,,0.0002658539069934103,100997.0,1.4157581329345703,True
q1_astana_tranad_anomaly_detector_seed7,tranad_anomaly,astana,0.035390064120292664,0.026334689930081367,,,,0.00032320596859557193,100997.0,1.3398551940917969,True
q1_astana_transformer_severity_classifier,transformer_classifier,astana,,,0.9892313480377197,0.9177103357869454,,0.02033898575607351,100547.0,0.9542083740234375,True
q1_astana_transformer_severity_classifier_seed2026,transformer_classifier,astana,,,0.9888715744018555,0.8958818091265917,,0.02943954326456689,100547.0,0.7484626770019531,True
q1_astana_transformer_severity_classifier_seed42,transformer_classifier,astana,,,0.9893167018890381,0.9119469910088857,,0.024356009237439843,100547.0,0.8347225189208984,True
q1_astana_transformer_severity_classifier_seed7,transformer_classifier,astana,,,0.990874707698822,0.9252412422555764,,0.029804354699690457,100547.0,0.6773519515991211,True
q1_hf_ett_dlinear_energy_forecaster,dlinear_forecast,hf_ett,0.15252529084682465,0.11758840829133987,,,,0.020793679204948068,106.0,0.20534992218017578,True
